Datum;Eröffnung;Schluss;Tageshoch;Tagestief;Daily Return
06.03.2006;11.022,47;10.958,59;11.037,12;10.929,22;-0,002574977
07.03.2006;10.957,31;10.980,69;10.989,01;10.928,74;0,000782881
08.03.2006;10.977,08;11.005,74;11.026,71;10.922,73;0,001129263
09.03.2006;11.005,66;10.972,28;11.049,12;10.963,88;-0,001293879
10.03.2006;10.972,92;11.076,34;11.098,99;10.972,92;0,003731634
13.03.2006;11.067,61;11.076,02;11.116,68;11.056,33;0,000329884
14.03.2006;11.076,02;11.151,34;11.161,35;11.058,65;0,002881788
15.03.2006;11.149,76;11.209,77;11.226,74;11.138,93;0,002377671
16.03.2006;11.210,97;11.253,24;11.282,45;11.210,57;0,001668351
17.03.2006;11.254,12;11.279,65;11.290,07;11.254,12;0,00095636
20.03.2006;11.278,93;11.274,53;11.308,39;11.259,80;-0,000117071
21.03.2006;11.275,89;11.235,47;11.334,96;11.221,54;-0,001596695
22.03.2006;11.234,51;11.317,43;11.328,80;11.226,42;0,003190612
23.03.2006;11.317,35;11.270,29;11.327,20;11.237,15;-0,001797325
24.03.2006;11.270,61;11.279,97;11.316,09;11.244,03;0,000366683
27.03.2006;11.280,13;11.250,11;11.280,45;11.229,86;-0,001157336
28.03.2006;11.250,11;11.154,54;11.281,77;11.145,02;-0,00368953
29.03.2006;11.154,94;11.215,70;11.244,35;11.154,94;0,002383927
30.03.2006;11.216,34;11.150,70;11.259,16;11.117,64;-0,002524108
31.03.2006;11.151,34;11.109,32;11.191,36;11.105,65;-0,001495743
03.04.2006;11.113,00;11.144,94;11.247,87;11.113,00;0,003511162
04.04.2006;11.203,21;11.203,85;11.226,98;11.123,57;0,001406447
05.04.2006;11.239,55;11.239,55;11.250,99;11.169,35;-0,000252778
06.04.2006;11.233,01;11.216,50;11.246,91;11.167,03;-0,000614005
07.04.2006;11.217,14;11.120,04;11.269,30;11.108,02;-0,00378204
10.04.2006;11.119,88;11.141,33;11.185,54;11.117,08;0,000836937
11.04.2006;11.141,33;11.089,63;11.186,64;11.053,17;-0,002026248
12.04.2006;11.089,47;11.129,97;11.144,14;11.087,47;0,001589447
13.04.2006;11.130,13;11.137,65;11.178,40;11.105,80;0,000280851
17.04.2006;11.137,33;11.073,78;11.159,99;11.039,12;-0,002453823
18.04.2006;11.074,58;11.268,77;11.280,45;11.074,58;0,007419352
19.04.2006;11.265,40;11.278,77;11.302,95;11.236,19;0,000505882
20.04.2006;11.278,53;11.342,89;11.384,11;11.275,05;0,002492662
21.04.2006;11.343,45;11.347,45;11.405,88;11.316,79;0,000128622
24.04.2006;11.346,81;11.336,32;11.359,70;11.305,83;-0,000392492
25.04.2006;11.336,56;11.283,25;11.355,37;11.260,84;-0,00204708
26.04.2006;11.283,25;11.354,49;11.379,87;11.282,77;0,002543666
27.04.2006;11.349,53;11.382,51;11.416,93;11.275,30;0,000336605
28.04.2006;11.358,33;11.367,14;11.417,66;11.347,21;0,000361178
01.05.2006;11.367,78;11.343,29;11.428,37;11.329,44;-0,000863121
02.05.2006;11.345,21;11.416,45;11.427,65;11.345,13;0,002651582
03.05.2006;11.414,69;11.400,28;11.424,93;11.362,42;-0,000490703
04.05.2006;11.401,80;11.438,86;11.463,11;11.401,80;0,001476142
05.05.2006;11.440,62;11.577,74;11.586,38;11.440,62;0,005122838
08.05.2006;11.576,37;11.584,54;11.603,59;11.561,97;0,000309393
09.05.2006;11.584,62;11.639,77;11.640,73;11.572,05;0,001715846
10.05.2006;11.630,48;11.642,65;11.670,19;11.595,18;0,00032885
11.05.2006;11.639,29;11.500,73;11.639,45;11.479,44;-0,005228271
12.05.2006;11.500,01;11.380,99;11.500,01;11.374,74;-0,004539546
15.05.2006;11.380,43;11.428,77;11.435,34;11.333,04;0,00181954
16.05.2006;11.428,21;11.419,89;11.460,55;11.392,67;-0,00068762
17.05.2006;11.410,13;11.205,61;11.410,13;11.174,38;-0,007833386
18.05.2006;11.206,17;11.128,29;11.247,39;11.127,09;-0,003181781
19.05.2006;11.124,37;11.144,06;11.180,29;11.075,22;0,000743074
22.05.2006;11.143,42;11.125,33;11.175,35;11.040,07;-0,000668124
23.05.2006;11.126,29;11.098,35;11.202,65;11.097,31;-0,001023093
24.05.2006;11.100,11;11.117,32;11.168,24;11.030,47;0,000580622
25.05.2006;11.114,96;11.211,05;11.214,98;11.114,96;0,003763177
